Port_IDs,total_positions,win_positions,total_profit,avg_daily_return,std_dev_return,win_rate,ROI,sharpe_ratio,max_drawdown,ROI_normalized,total_profit_normalized,win_rate_normalized,sharpe_ratio_normalized,max_drawdown_normalized,score
3672754654734989568,474,210,566.59765978,1.1953537126160336,6.451799122657953,44.303797468354425,,0.18527447769074104,-0.4607807947540967,,0.15309973898201193,0.5519948726165678,0.3495258095152479,,
3733192481840423936,689,553,2923.97719988,4.243798548447025,70.41844733899562,80.2612481857765,,0.06026543766319222,-0.7603550322920538,,0.1810488112293427,1.0,0.18351788439114325,,
3768170840939476993,14,6,243.66889897,17.404921355,41.022498585130585,42.857142857142854,,0.42427745640312503,0.0,,0.1492710982760538,0.5339705502454145,0.6669139646901037,,
3784403294629753856,6050,1829,2521.81430468,0.4168288106909091,3.9107618567838616,30.231404958677686,,0.10658506601925934,-0.17726106940104958,,0.17628077128416536,0.3766625319444652,0.245028839072627,,
3786761687746711808,82,37,205.02139999,2.5002609754878047,11.620986242555336,45.1219512195122,,0.21515049784088058,-2.3182124312164807,,0.14881289384914814,0.5621885061526927,0.38920018918409127,,
3788465932399412480,3069,1369,13960.96645667,4.549027845118931,29.749289912078247,44.607363962202676,,0.15291214877945777,-0.22426255689216867,,0.311903264186015,0.5557771025308796,0.3065496929595011,,
3818233536529843712,1421,482,6419.60790714,4.517669181660803,29.28185753007359,33.919774806474315,,0.15428219254946457,-0.9319387063687504,,0.22249297986035288,0.4226170857443183,0.3083690663707193,,
3819545518395756033,68,26,980.0631999599999,14.412694117058821,67.12229094256563,38.23529411764706,,0.21472291715119346,0.0,,0.15800178299219375,0.4763854909052228,0.38863237598352235,,
3826087012661391104,108,63,532.65697373,4.932009016018519,7.3055823625850245,58.333333333333336,,0.6751014185094157,-0.05034773356167872,,0.15269733849011013,0.7267932489451476,1.0,,
3858510226868015873,996,243,-280.97295038999994,-0.28210135581325296,20.80661580951278,24.397590361445783,,-0.013558252740182585,-6.255267959451345,,0.14305094886765016,0.30397721083247997,0.08548243298564676,,
3865845304835489536,882,451,1406.06618669,1.594179349988662,6.544928305477614,51.13378684807256,,0.243574761339166,-0.0011435870223209283,,0.16305247086453797,0.6370918469859311,0.42694668340156,,
3878631538480067329,2811,1415,3921.23304116,1.394960171170402,8.93825036177692,50.337958022056206,,0.15606635691653245,-0.2903857914851584,,0.1928722682004781,0.6271763666762518,0.3107383784188082,,
3879821005658659073,872,289,4268.00656095,4.894502936869266,37.37970169828229,33.142201834862384,,0.13094012831820387,-42.58664586138808,,0.19698361217085156,0.41292906083580794,0.27737156690755066,,
3880920727367689984,145,49,-176.82699999000002,-1.2194965516551726,31.570472983098846,33.793103448275865,,-0.038627756774756786,-8.08406995561114,,0.14428570239056954,0.42103884766477523,0.05219094984368445,,
3886752488982104320,1249,931,7195.17832464,5.760751260720577,25.982851666186072,74.5396317053643,,0.2217135876666526,-0.030570947252791882,,0.23168813628844356,0.928712590325425,0.3979157582672507,,
